,date,revenue,earnings,actual,estimate,ticker,as_of_date
183,4Q2019,3342000000.0,-158000000,1.57,1.53,FIS,4/28/20
184,2Q2019,8146000000.0,1265000000,1.54,1.46,MDT,4/28/20
185,3Q2019,7493000000.0,864000000,1.26,1.18,MDT,4/28/20
186,4Q2019,7706000000.0,1364000000,1.31,1.28,MDT,4/28/20
187,1Q2020,7717000000.0,1915000000,1.44,1.38,MDT,4/28/20
188,1Q2019,4940000000.0,630000000,1.39,1.24,HIG,4/28/20
189,2Q2019,5092000000.0,372000000,1.33,1.14,HIG,4/28/20
190,3Q2019,5346000000.0,535000000,1.5,1.24,HIG,4/28/20
191,4Q2019,5358000000.0,548000000,1.43,1.32,HIG,4/28/20
192,2Q2019,2613200000.0,126500000,0.36,0.41,CAG,4/28/20
193,3Q2019,2390700000.0,173800000,0.43,0.38,CAG,4/28/20
194,4Q2019,2820800000.0,260500000,0.63,0.57,CAG,4/28/20
195,1Q2020,2555000000.0,204400000,0.47,0.49,CAG,4/28/20
196,1Q2019,61646000000.0,2350000000,0.55,0.7,XOM,4/28/20
197,2Q2019,67491000000.0,3130000000,0.61,0.66,XOM,4/28/20
198,3Q2019,63422000000.0,3170000000,0.67,0.67,XOM,4/28/20
199,4Q2019,63024000000.0,5690000000,0.41,0.43,XOM,4/28/20
200,1Q2019,621825000.0,172107000,2.67,2.64,FLT,4/28/20
201,2Q2019,647094000.0,261651000,2.85,2.8,FLT,4/28/20
202,3Q2019,681048000.0,225805000,3.1,3.05,FLT,4/28/20
203,4Q2019,698881000.0,235510000,3.17,3.13,FLT,4/28/20
204,2Q2019,2097200000.0,-245400000,2.21,2.05,STZ,4/28/20
205,3Q2019,2344000000.0,-525200000,2.72,2.6,STZ,4/28/20
206,4Q2019,1999400000.0,360400000,2.14,1.83,STZ,4/28/20
207,1Q2020,1902900000.0,398400000,2.06,1.65,STZ,4/28/20
208,1Q2019,2495500000.0,-25000000,0.82,0.79,MYL,4/28/20
209,2Q2019,2851500000.0,-168500000,1.03,0.95,MYL,4/28/20
210,3Q2019,2961700000.0,189800000,1.17,1.13,MYL,4/28/20
211,4Q2019,3191800000.0,20500000,1.4,1.28,MYL,4/28/20
212,1Q2019,1287691000.0,204268000,1.0,0.97,AME,4/28/20
213,2Q2019,1289412000.0,215503000,1.05,1.02,AME,4/28/20
214,3Q2019,1276633000.0,220749000,1.06,1.01,AME,4/28/20
215,4Q2019,1304821000.0,220777000,1.08,1.03,AME,4/28/20
216,1Q2019,786890000.0,190804000,0.37,0.15,TWTR,4/28/20
217,2Q2019,841381000.0,1119560000,1.58,0.19,TWTR,4/28/20
218,3Q2019,823717000.0,36522000,0.17,0.2,TWTR,4/28/20
219,4Q2019,1007341000.0,118773000,0.25,0.29,TWTR,4/28/20
220,1Q2019,883039000.0,112341000,1.34,1.29,GPN,4/28/20
221,2Q2019,935152000.0,120458000,1.51,1.46,GPN,4/28/20
222,3Q2019,1105941000.0,95044000,1.7,1.67,GPN,4/28/20
223,4Q2019,1987761000.0,102771000,1.62,1.59,GPN,4/28/20
224,1Q2019,1189000000.0,34000000,0.16,0.39,NLOK,4/28/20
225,3Q2019,650000000.0,26000000,0.18,0.41,NLOK,4/28/20
226,4Q2019,608000000.0,785000000,0.25,0.08,NLOK,4/28/20
227,1Q2020,618000000.0,2845000000,,,NLOK,4/28/20
228,2Q2019,22227000000.0,7348000000,0.74,0.71,BAC,4/28/20
229,3Q2019,19956000000.0,5777000000,0.56,0.51,BAC,4/28/20
230,4Q2019,21408000000.0,6994000000,0.74,0.68,BAC,4/28/20
231,1Q2020,18006000000.0,4010000000,0.4,0.46,BAC,4/28/20
232,1Q2019,37956000000.0,1368000000,3.9,3.72,CI,4/28/20
