,ticker,as_of_date,-1m,-2m,-3m,0m,52w_change,PE,current_earning_avg,current_earning_d,current_earning_high,current_earning_low,current_price,current_ratio,current_revenue_avg,current_revenue_high,current_revenue_low,earningQtr_growth,free_cf,fwd_pe,pegRatio,priceToBook,profit_margin,tgt_high_price,tgt_low_price,tgt_median_price,trailingEps,growthPotential
2936,EIX,2020-05-05,0.5714285714285714,0.5714285714285714,0.5294117647058824,0.5333333333333333,-0.07987583,16.60482921083628,1.12,2020-07-23,1.5,0.9,56.39,0.7859999999999999,2931900000,3110480000,2800000000,-0.342,-2413625088,12.179265,3.78,1.5352155,0.09656,87.0,59.0,69.5,3.396,0.23248802979251648
2937,NOW,2020-05-05,0.7714285714285715,0.8055555555555556,0.8181818181818182,0.8823529411764706,0.33922446,110.44100119189511,1.01,2020-07-22,1.06,0.9,370.64,1.031,1049760000,1073200000,1035000000,,1219314688,69.149254,2.96,31.190777,0.18195,410.0,165.0,372.0,3.356,0.003669328728685528
2938,PNW,2020-05-05,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.07692307692307693,-0.2110337,15.647798742138367,0.15,2020-05-08,0.21,0.08,74.64,0.496,749630000,776800000,700790000,1.454,-212748752,14.549707,3.09,1.5453416000000002,0.15508,97.0,81.0,86.5,4.77,0.1588960342979635
2939,HPE,2020-05-05,0.3181818181818182,0.30434782608695654,0.4,0.28,-0.3920933,10.54932735426009,0.3,2020-05-21,0.41,0.15,9.41,0.787,6317000000,6907000000,5307000000,0.881,1517750016,5.773006,1.43,0.7077849,0.04223,17.0,7.0,13.0,0.892,0.381509032943677
2940,VRTX,2020-05-05,0.8076923076923077,0.7916666666666666,0.8,0.8148148148148148,0.5544398,47.13222568362755,2.03,2020-07-29,2.35,1.51,272.33,3.539,1370270000,1500000000,1204000000,1.244,1329987328,24.893053,1.21,10.918968,0.31350002,305.0,245.0,285.0,5.778,0.046524437263613994
2941,UPS,2020-05-05,0.5185185185185185,0.4444444444444444,0.25925925925925924,0.23076923076923078,-0.11411494,18.767206477732792,1.05,2020-07-22,1.41,0.62,92.71,1.224,17266200000,17926000000,16330000000,-0.131,6226124800,13.282235,2.95,24.093035,0.05728,125.0,60.0,105.0,4.94,0.1325639089634345
2942,NLSN,2020-05-05,0.5294117647058824,0.5882352941176471,0.5263157894736842,0.5263157894736842,-0.41432118,-10.097087378640776,0.35,2020-07-29,0.45,0.16,13.52,0.784,1545510000,1669000000,1475000000,,527624992,8.04762,-6.05,2.3578653,-0.0733,28.0,5.5,18.0,-1.339,0.33136094674556227
2943,FDX,2020-05-05,0.5,0.5,0.8148148148148148,0.75,-0.3587402,-87.81343283582089,2.24,2020-06-23,3.15,0.73,117.67,1.215,16638000000,17457000000,14622700000,-0.574,-2939124992,11.720119,-8.32,1.6324916,-0.00501,360.0,80.0,137.5,-1.34,0.1685221381830544
2944,BAX,2020-05-05,0.7777777777777778,0.7058823529411765,0.35294117647058826,0.375,0.13795793,46.50943396226415,0.73,2020-07-23,0.9,0.63,88.74,2.745,2848620000,2904000000,2665000000,-0.029,1386625024,22.871132,2.38,5.8597465,0.08598,105.0,84.0,98.5,1.908,0.10998422357448723
2945,PVH,2020-05-05,0.6,0.65,0.8125,0.7647058823529411,-0.63528156,7.905357142857144,-1.21,2020-05-27,1.04,-3.34,44.27,1.4380000000000002,1428400000,1825000000,797000000,,372024992,6.687311,-4.26,0.55070406,0.04211,107.0,26.0,50.0,5.6,0.12943302462163975
2946,TMO,2020-05-05,0.7647058823529411,0.7777777777777778,0.9285714285714286,0.9333333333333333,0.24328125,36.86910765183074,2.46,2020-07-22,2.95,1.89,336.32,2.316,5717330000,6030000000,5357000000,-0.033,3203624960,23.502445,2.68,4.651086,0.14306,390.0,260.0,367.5,9.122,0.09270932445290203
2947,V,2020-05-05,0.9444444444444444,0.9444444444444444,0.8611111111111112,0.8974358974358975,0.09949434,32.11663066954644,1.05,2020-07-21,1.47,0.85,178.44,1.249,4907480000,6012460000,4502000000,0.036,9698249728,30.192894,2.8,13.079235,0.52259,220.0,170.0,200.0,5.556,0.12082492714637971
2948,UNM,2020-05-05,0.08333333333333333,0.08333333333333333,0.21428571428571427,0.23076923076923078,-0.52300787,3.2099809684922818,1.38,2020-07-28,1.42,1.31,15.18,,3047900000,3074650000,3019920000,-0.427,,2.594872,0.56,0.3091398,0.08251,44.0,16.0,18.0,4.729,0.18577075098814233
2949,TDG,2020-05-05,0.6666666666666666,0.7333333333333333,0.6470588235294118,0.6666666666666666,-0.2699499,25.287472732938607,4.36,2020-08-04,4.97,3.39,324.59,1.986,1454130000,1550000000,1311040000,0.551,2525892608,22.262688,3.49,,0.17518999,600.0,270.0,354.0,12.836,0.09060661141748061
2950,DRE,2020-05-05,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.3333333333333333,0.0828383,29.872958257713247,0.13,2020-07-29,0.14,0.12,32.92,1.99,218920000,222010000,214040000,-0.563,855946752,59.85454,11.57,2.4450386,0.42683,42.0,31.5,37.0,1.102,0.12393681652490884
2951,ULTA,2020-05-05,0.5517241379310345,0.5517241379310345,0.7307692307692307,0.48,-0.37060404,17.959670781893003,0.68,2020-05-28,3.13,-0.97,218.21,1.807,1245900000,1829000000,984120000,0.037,612404736,18.811207,10.37,6.4941516,0.095419995,280.0,190.0,237.5,12.15,0.08840108152696935
2952,PAYC,2020-05-05,0.5,0.5,0.6923076923076923,0.6875,0.22892523,76.45938708717644,0.69,2020-07-28,0.81,0.53,256.98,1.103,184470000,202000000,160060000,0.333,142452128,56.853985,3.47,24.688251,0.25165,265.0,175.0,225.0,3.361,-0.12444548213868789
2953,FTI,2020-05-05,0.7352941176470589,0.7647058823529411,0.71875,0.5882352941176471,-0.65103024,-0.6095357788076349,0.1,2020-07-22,0.25,-0.05,7.76,1.141,3224800000,3787830000,2619000000,,-1370637440,11.938462,2.24,0.85603976,-0.41772997,32.0,4.5,11.5,-12.731,0.481958762886598
2954,KSS,2020-05-05,0.10526315789473684,0.10526315789473684,0.17391304347826086,0.3333333333333333,-0.73981935,3.9084668192219674,-1.75,2020-05-19,-0.59,-3.17,17.08,1.679,2156520000,2515000000,1914970000,-0.026,593124992,5.9305553,7.16,0.48777702,0.034590002,45.0,16.0,20.0,4.37,0.17096018735363017
2955,O,2020-05-05,0.4444444444444444,0.4444444444444444,0.25,0.21052631578947367,-0.2404322,35.77319587628865,0.45,2020-08-03,0.86,0.36,52.05,0.946,409740000,422930000,391930000,0.323,,28.288042,5.43,1.7206612,0.30445,75.0,49.0,64.0,1.455,0.22958693563880894
2956,STX,2020-05-05,0.2962962962962963,0.27586206896551724,0.19230769230769232,0.1111111111111111,-0.046696603,6.890198968312454,1.29,2020-07-31,1.39,1.24,46.75,1.493,2620110000,2722810000,2585000000,0.641,809875008,9.202756,1.04,6.7140603,0.17572,70.0,36.0,55.0,6.785,0.17647058823529416
2957,HSIC,2020-05-05,0.2777777777777778,0.23529411764705882,0.23529411764705882,0.5625,-0.21316141,11.548387096774194,0.73,2020-08-04,0.89,0.46,53.7,1.5830000000000002,2318250000,2507370000,2003000000,1.481,1158038784,14.712329,2.83,2.5676582000000003,0.06957,102.0,52.0,59.0,4.65,0.09869646182495329
2958,CMS,2020-05-05,0.4117647058823529,0.35294117647058826,0.3888888888888889,0.42857142857142855,0.032763124,22.946607788036932,0.36,2020-07-23,0.42,0.3,57.16,0.958,1491420000,1570240000,1448880000,0.141,-455000000,20.12676,2.93,3.1550477000000003,0.10677,73.0,59.0,62.5,2.491,0.09342197340797775
2959,AKAM,2020-05-05,0.631578947368421,0.6,0.4230769230769231,0.4230769230769231,0.26244986,33.06333333333333,1.21,2020-07-28,1.27,1.18,99.19,3.196,767500000,784240000,756160000,0.149,336557504,18.540188,1.72,4.3757725,0.16739,130.0,94.0,114.0,3.0,0.1493094061901401
2960,PKI,2020-05-05,0.3333333333333333,0.3125,0.35714285714285715,0.35714285714285715,-0.070016086,44.36211972522081,0.55,2020-07-27,0.7,0.24,90.41,1.802,652710000,703000000,540000000,-0.095,227113120,19.914099,2.34,3.5709772000000006,0.07891,110.0,80.0,86.5,2.038,-0.043247428381816166
2961,YUM,2020-05-05,0.2692307692307692,0.25925925925925924,0.4166666666666667,0.48,-0.18113732,23.184855233853007,0.48,2020-07-30,0.73,0.2,83.28,1.327,1115630000,1297000000,875000000,-0.683,1019374976,22.26738,6.54,,0.19889,110.0,66.0,87.5,3.592,0.05067243035542757
2962,HES,2020-05-05,0.52,0.44,0.48,0.42857142857142855,-0.25698233,-33.67883211678832,-0.64,2020-05-07,-0.44,-0.86,46.14,1.257,1398870000,1609000000,942360000,,-153500000,-13.897591,0.73,1.611371,-0.06465,75.0,35.0,45.5,-1.37,-0.01387082791504124
2963,AEP,2020-05-05,0.7222222222222222,0.6111111111111112,0.47368421052631576,0.35294117647058826,-0.018669426,21.471649484536083,1.11,2020-05-06,1.23,0.97,83.31,0.396,4222650000,4478000000,4098480000,-0.578,-1825774976,17.95474,3.22,2.0970097,0.12345,115.0,76.0,96.5,3.88,0.15832433081262742
2964,CVS,2020-05-05,0.6666666666666666,0.6666666666666666,0.625,0.625,0.08310759,12.049212598425196,1.63,2020-05-06,1.78,1.54,61.21,0.944,64058900000,66326000000,62234000000,,10174374912,8.118037,1.46,1.2478849,0.025940001,109.0,62.0,79.0,5.08,0.2906387845123346
2965,SLG,2020-05-05,0.5,0.5,0.5263157894736842,0.47368421052631576,-0.43779564,11.755819712729073,0.21,2020-07-15,0.35,0.06,47.47,4.94,208910000,218000000,189500000,1.412,,43.953705,-3.54,0.72064,0.29027998,105.0,44.0,58.0,4.038,0.22182431009058345
2966,MKTX,2020-05-05,0.08333333333333333,0.0,0.6,0.6,0.6331512,80.93451683135153,1.84,2020-07-29,2.21,1.6,483.26,5.978,164940000,182480000,148610000,0.424,195279632,65.393776,4.04,22.964266,0.40874,505.0,383.0,418.0,5.971,-0.13504117866159004
2967,CCI,2020-05-05,0.4666666666666667,0.4375,0.65,0.6190476190476191,0.2799642,89.64971751412429,0.5,2020-07-29,0.55,0.45,158.68,0.467,1448610000,1478090000,1421030000,-0.041,423624992,57.2852,3.42,6.537843,0.14751,184.0,148.0,170.5,1.77,0.07448953869422725
2968,JBHT,2020-05-05,0.13636363636363635,0.13636363636363635,0.5238095238095238,0.5909090909090909,0.04573393,21.668453785116878,0.82,2020-07-13,1.02,0.51,101.04,1.537,1999480000,2181000000,1871200000,-0.123,183512992,18.57353,4.37,4.6686997,0.05361,117.0,87.0,104.0,4.663,0.029295328582739533
2969,AEE,2020-05-05,0.7692307692307693,0.7142857142857143,0.3,0.2222222222222222,-0.017331421,21.537313432835823,0.71,2020-05-11,0.78,0.67,72.15,0.5710000000000001,1612040000,1728410000,1550900000,0.382,-504000000,19.137932,3.25,2.2041302000000003,0.14665,92.0,76.0,85.5,3.35,0.18503118503118499
2970,CDW,2020-05-05,0.5,0.5,0.75,0.7142857142857143,0.013299704,22.04208416833667,1.34,2020-05-06,1.41,1.16,109.99,1.241,4258280000,4392520000,3806000000,0.165,747875008,16.921537,2.1,16.379745,0.04086,130.0,80.0,126.0,4.99,0.1455586871533776
2971,PH,2020-05-05,0.45454545454545453,0.45454545454545453,0.47619047619047616,0.65,-0.09660858,15.04507152655301,1.43,2020-04-30,2.43,0.27,153.55,1.492,2923980000,3562450000,2541400000,-0.107,1215133696,17.36991,6.39,3.1288207000000003,0.09315,219.0,85.0,183.0,10.206,0.19179420384239654
2972,EBAY,2020-05-05,0.29411764705882354,0.2727272727272727,0.3888888888888889,0.42105263157894735,0.057059526,7.044025157232705,0.78,2020-07-15,0.82,0.72,40.32,1.337,2477420000,2686990000,2302970000,5.587,3288375040,11.964392,1.89,13.359841,0.43490002,52.0,23.5,41.0,5.724,0.016865079365079305
2973,REG,2020-05-05,0.5789473684210527,0.5789473684210527,0.5882352941176471,0.5,-0.38221747,28.21553533939818,0.36,2020-05-07,0.4,0.26,40.32,1.569,281610000,290000000,275730000,-0.489,516580640,27.616438,3.46,1.0845416,0.20558001,71.0,32.5,46.0,1.429,0.14087301587301582
2974,AMCR,2020-05-05,0.25,0.3333333333333333,0.0,0.0,-0.2566296,27.41214057507987,0.16,2020-05-11,0.17,0.15,8.58,1.244,3220050000,3285000000,3165690000,0.339,280124992,12.80597,7.02,2.575803,0.04008,11.6,7.0,9.25,0.313,0.07808857808857805
2975,CDNS,2020-05-05,0.5,0.5384615384615384,0.3333333333333333,0.3333333333333333,0.13177848,22.49294184076793,0.53,2020-07-20,0.62,0.5,79.67,1.382,595330000,615440000,588000000,0.028,571683904,29.6171,2.64,10.306598,0.41741002,91.0,63.0,87.5,3.542,0.0982804066775449
2976,VRSK,2020-05-05,0.47058823529411764,0.47058823529411764,0.47368421052631576,0.45,0.09935951,58.32962962962963,1.13,2020-07-28,1.18,1.09,157.49,0.499,684950000,696500000,651000000,-0.096,838687488,29.659136,3.43,11.366196,0.17257,181.0,138.0,162.5,2.7,0.03181154359006921
2977,GRMN,2020-05-05,0.2222222222222222,0.0,0.13333333333333333,0.13333333333333333,0.01722598,15.875761745626107,0.85,2020-07-29,1.28,0.07,80.76,3.746,822450000,1051360000,571240000,0.15,531892128,18.396357,3.15,3.126355,0.25302,104.0,80.0,85.0,5.087,0.0525012382367509
2978,ESS,2020-05-05,0.43478260869565216,0.43478260869565216,0.2692307692307692,0.3076923076923077,-0.13129687,36.71471471471472,1.46,2020-05-06,1.54,1.31,244.52,0.373,379440000,389770000,371350000,0.093,706838720,42.599304,5.71,2.5980153,0.27813998,342.0,203.0,266.0,6.66,0.08784557500408963
2979,WDC,2020-05-05,0.6060606060606061,0.6,0.8064516129032258,0.7586206896551724,-0.15971196,-20.08715139442231,1.2,2020-07-29,1.43,1.0,40.335,1.913,4355500000,4786000000,4164290000,,744750016,6.4125595,-0.96,1.3047909,-0.037,88.0,38.0,60.0,-2.008,0.4875418371141689
2980,FANG,2020-05-05,0.9117647058823529,1.0,0.9375,0.9333333333333333,-0.5671383,-155.7142857142857,1.29,2020-08-04,2.21,0.67,40.33,0.953,979580000,1090000000,877620000,,-964124992,18.758139,1.42,0.49623486,-0.01105,110.0,27.0,49.0,-0.259,0.21497644433424257
2981,LW,2020-05-05,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.625,-0.15457875,18.088957055214724,0.17,2020-07-21,0.32,0.05,58.97,1.849,806750000,1129000000,690850000,-0.212,310324992,22.768341,6.71,31.841253,0.121020004,70.0,45.0,61.0,3.26,0.03442428353400029
2982,CMG,2020-05-05,0.5,0.4411764705882353,0.23529411764705882,0.2,0.2384646,72.81650071123755,-0.48,2020-07-21,2.26,-4.03,870.23,1.615,1251490000,1406400000,1025700000,-0.133,380465376,47.29511,5.6,14.4768095,0.05949,1010.0,630.0,870.0,11.951,-0.00026429794422166974
2983,IP,2020-05-05,0.21428571428571427,0.21428571428571427,0.5625,0.5555555555555556,-0.27488053,19.87987987987988,0.35,2020-07-30,0.54,0.08,33.1,0.772,5026150000,5290260000,4676000000,,6147500032,14.909909,5.18,1.8960874,0.029879998,53.0,27.0,38.0,1.665,0.14803625377643503
2984,RE,2020-05-05,0.2,0.18181818181818182,0.2222222222222222,0.2,-0.34051597,6.789878542510122,3.61,2020-05-06,4.09,3.07,167.71,0.867,1966420000,1995560000,1894100000,,4934489088,7.124469,-1.91,0.7492004,0.12246,263.0,180.0,222.0,24.7,0.3237135531572357
2985,ORCL,2020-05-05,0.2647058823529412,0.20588235294117646,0.7058823529411765,0.7222222222222222,-0.041666687,16.367924528301884,1.2,2020-06-17,1.27,1.0,52.05,2.125,10914100000,11276000000,9740260000,-0.063,10045875200,12.542169,1.4,11.558961,0.27056,60.0,35.0,51.0,3.18,-0.020172910662824117
2986,VMC,2020-05-05,0.6190476190476191,0.6666666666666666,0.7857142857142857,0.8,-0.13908148,23.314630988347,0.44,2020-05-06,0.51,0.37,108.04,2.575,1012200000,1045000000,978000000,0.138,453697248,21.101562,1.64,2.5439134,0.12531,160.0,83.5,125.0,4.634,0.15697889670492393
2987,NVDA,2020-05-05,0.7560975609756098,0.7560975609756098,0.5526315789473685,0.5526315789473685,0.6826874,64.98672566371683,1.68,2020-05-21,1.76,1.53,293.74,7.673999999999999,2977720000,3016000000,2710000000,0.68,3188250112,32.173054,2.72,14.742284,0.25609,360.0,140.0,311.0,4.52,0.05875944713011494
2988,LB,2020-05-05,0.25,0.2857142857142857,0.2857142857142857,0.26666666666666666,-0.505341,-8.736842105263158,-0.66,2020-05-20,-0.02,-1.69,11.62,1.368,1819660000,2626000000,1217000000,,776374976,6.1808510000000005,-3.29,,-0.02834,25.0,8.0,14.0,-1.33,0.20481927710843384
2989,TRV,2020-05-05,0.14285714285714285,0.13636363636363635,0.19047619047619047,0.2727272727272727,-0.31613863,10.466875607910946,1.35,2020-07-21,2.8,-2.92,96.85,0.386,7287700000,7662000000,6856000000,-0.246,9556875264,9.285714,28.67,0.971424,0.07625,125.0,93.0,115.0,9.253,0.18740320082601958
2990,DISCK,2020-05-05,0.0,0.0,0.0,0.0,-0.26457566,7.815906338312475,0.83,2020-05-06,0.91,0.75,19.36,1.611,2736700000,2771000000,2689000000,0.77,5539874816,5.3333335,0.79,1.3580247,0.18566,33.0,18.0,32.0,2.477,0.6528925619834711
2991,PBCT,2020-05-05,0.08333333333333333,0.08333333333333333,0.0,0.0,-0.31162792,9.156151419558359,0.24,2019-07-17,0.36,0.06,11.61,,521740000,561300000,487980000,0.138,,10.366071,0.88,0.65723175,0.28561002,17.0,9.5,12.5,1.268,0.07665805340223941
2992,RMD,2020-05-05,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4,0.37778175,45.24836786829407,1.03,2020-07-23,1.24,0.75,159.41,2.665,730430000,784010000,660000000,0.548,476606016,34.805679999999995,1.71,10.2199,0.17728001,200.0,135.0,174.0,3.523,0.09152499843171702
2993,AIG,2020-05-05,0.5555555555555556,0.5263157894736842,0.6111111111111112,0.5263157894736842,-0.52147114,6.693376068376067,0.72,2020-08-05,1.25,0.07,25.06,0.66,11446700000,11624800000,10991000000,,406500000,5.2757893,1.98,0.334441,0.06726,62.0,26.0,36.0,3.744,0.43655227454110146
2994,PEG,2020-05-05,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.6,-0.16485387,17.6113074204947,1.01,2020-07-28,1.09,0.97,49.84,,3469350000,3881380000,3101680000,-0.36,,14.446376999999998,6.44,1.6647740000000002,0.14589,71.0,52.0,58.0,2.83,0.1637239165329052
2995,CMCSA,2020-05-05,0.7567567567567568,0.7837837837837838,0.9375,0.967741935483871,-0.15294659,14.305555555555554,0.51,2020-07-23,0.62,0.39,36.05,0.873,23635800000,24870800000,22333000000,-0.396,13758749696,12.303754,2.11,2.018703,0.10719,54.0,37.0,44.0,2.52,0.22052704576976434
2996,ES,2020-05-05,0.3888888888888889,0.3888888888888889,0.4,0.42857142857142855,0.1299119,28.8220640569395,1.01,2020-05-06,1.07,0.96,80.99,0.67,2505190000,2735000000,2292300000,0.081,-1166706304,20.87371,3.82,2.1153395,0.10662,104.0,82.0,91.0,2.81,0.12359550561797761
2997,HAS,2020-05-05,0.5625,0.6470588235294118,0.6666666666666666,0.5,-0.3174227,20.78874110733065,0.4,2020-07-21,0.93,-0.03,67.21,1.917,1129760000,1352110000,929390000,,563115904,14.642701,1.26,3.3684158,0.08326,117.0,60.0,87.5,3.233,0.3018895997619404
2998,AAP,2020-05-05,0.45454545454545453,0.4782608695652174,0.5185185185185185,0.48148148148148145,-0.2523964,17.71783625730994,1.75,2020-05-19,2.57,0.65,121.19,1.272,2736450000,2981600000,2574100000,0.795,275243136,14.190866,2.47,2.3483706,0.05015,159.0,95.0,133.0,6.84,0.0974502846769536
2999,EQIX,2020-05-05,0.9166666666666666,0.92,0.782608695652174,0.84,0.42330444,114.58931552587646,1.81,2020-05-06,2.15,1.46,686.39,1.3259999999999998,1451270000,1468700000,1424070000,0.136,1985626496,73.7261,3.85,6.6234045,0.09255,775.0,532.0,695.0,5.99,0.012543889042672562
3000,AXP,2020-05-05,0.5,0.42857142857142855,0.3448275862068966,0.35714285714285715,-0.26932842,13.080983260443372,0.49,2020-07-17,1.76,-0.78,86.74,1.804,8331780000,9562000000,6906000000,-0.763,,12.063977,4.65,3.3241358,0.14629,129.0,76.0,100.0,6.631,0.15287064791330418
3001,JWN,2020-05-05,0.13043478260869565,0.17391304347826086,0.25,0.15384615384615385,-0.54635507,5.452830188679245,-0.95,2020-05-19,0.26,-2.26,17.34,0.918,2414950000,3531000000,2001690000,-0.226,361000000,6.7734375,-24.22,2.7558806,0.03195,48.0,14.0,20.0,3.18,0.15340253748558252
3002,NOV,2020-05-05,0.41379310344827586,0.4482758620689655,0.23529411764705882,0.23529411764705882,-0.51360947,-0.5841321059124988,-0.04,2020-07-27,0.16,-0.17,12.31,2.729,1613880000,1787000000,1542000000,,914249984,-61.550003,-1.9,0.87113446,-0.95761,17.0,9.0,12.5,-21.074,0.015434606011372809
3003,DTE,2020-05-05,0.5,0.5714285714285714,0.4666666666666667,0.36363636363636365,-0.19057554,17.384145306399592,1.11,2019-10-22,1.34,1.03,102.41,0.888,2996640000,3190000000,2668470000,-0.152,-1154625024,14.505667,2.57,1.6685405,0.09099,155.0,104.0,120.0,5.891,0.1717605702568108
3004,KIM,2020-05-05,0.09090909090909091,0.09090909090909091,0.42857142857142855,0.38095238095238093,-0.4209354,12.975,0.18,2020-05-08,0.19,0.14,10.38,1.116,284440000,293910000,271660000,0.241,422507136,15.727272,4.16,0.9213563,0.35431,22.0,7.5,12.0,0.8,0.15606936416184958
3005,IPGP,2020-05-05,0.35714285714285715,0.35714285714285715,0.7272727272727273,0.7,-0.24905396,43.014925373134325,0.19,2020-07-28,0.28,0.11,144.1,9.883,237740000,298000000,217000000,,165480752,30.922749,3.13,3.1805944,0.1371,180.0,113.0,151.0,3.35,0.047883414295628146
3006,GS,2020-05-05,0.6,0.6153846153846154,0.39285714285714285,0.37037037037037035,-0.1312738,9.652446946730187,2.93,2020-07-15,4.48,1.22,178.3,1.712,8341270000,9287000000,7084100000,-0.461,,8.209024000000001,2.43,0.75526845,0.21404,301.0,160.0,210.5,18.472,0.1805945036455412
3007,BA,2020-05-05,0.2727272727272727,0.30434782608695654,0.7916666666666666,0.56,-0.63200176,-20.778790389395194,-1.77,2020-07-22,0.13,-3.12,125.4,1.175,14915700000,20759000000,10986000000,,-7767499776,14.3807335,-4.05,,-0.04838,209.0,95.0,153.0,-6.035,0.22009569377990434
3008,TEL,2020-05-05,0.5294117647058824,0.5294117647058824,0.6363636363636364,0.6923076923076923,-0.24541014,33.950143815915624,0.41,2020-07-22,0.55,0.33,70.82,1.444,2404090000,2530000000,2349000000,,1489250048,14.632231,1.97,2.5861816,0.05356,92.0,70.0,84.0,2.086,0.18610561988138952
3009,HPQ,2020-05-05,0.3076923076923077,0.15384615384615385,0.6842105263157895,0.6666666666666666,-0.24018365,7.324431256181999,0.45,2020-05-07,0.53,0.3,14.81,0.732,12852700000,13862000000,11485900000,-0.156,3961874944,5.8537550000000005,0.91,,0.051599998,27.0,11.0,18.0,2.022,0.21539500337609718
3010,NOC,2020-05-05,0.7368421052631579,0.75,0.45,0.5263157894736842,0.118524194,24.743338852927895,5.49,2020-07-22,5.94,4.93,328.74,1.29,8703920000,9001000000,8433000000,0.006,1833250048,12.796418,1.38,6.0618463,0.06574,455.0,309.0,407.0,13.286,0.23806047332238234
3011,PNC,2020-05-05,0.375,0.3333333333333333,0.4666666666666667,0.41379310344827586,-0.23572767,9.277478147665985,0.94,2020-07-15,2.26,-2.08,99.77,,4165630000,4330000000,4001000000,-0.28,,11.534104,-2.79,0.8587093000000001,0.30290002,140.0,87.0,107.5,10.754,0.07747819985967741
3012,MOS,2020-05-05,0.45,0.5238095238095238,0.10526315789473684,0.21052631578947367,-0.52774197,-4.235886371808702,-0.08,2020-08-03,0.07,-0.23,11.78,1.435,1653130000,1786800000,1365280000,,-4150000,11.436893,4.68,0.48575318,-0.119849995,36.0,12.0,18.0,-2.781,0.5280135823429541
3013,ABC,2020-05-05,0.42105263157894735,0.42105263157894735,0.375,0.42857142857142855,0.11567259,28.49692257855523,2.27,2020-05-07,2.33,2.17,87.97,0.945,45942500000,46919800000,45337800000,-0.523,1300047872,10.754278,1.45,6.1268983,0.00357,109.0,84.0,100.0,3.087,0.13675116516994423
3014,ALL,2020-05-05,0.42105263157894735,0.4,0.5789473684210527,0.55,0.071653366,7.280826799714897,3.5,2020-08-04,4.54,2.4,102.15,0.72,9175630000,10751000000,8431000000,,-11136249856,9.511173,-12.31,1.3720435,0.10849,135.0,94.0,119.0,14.03,0.16495349975526175
3015,PGR,2020-05-05,0.5263157894736842,0.55,0.5,0.47368421052631576,0.04203868,12.87788778877888,1.98,2020-05-20,3.38,1.3,78.04,0.444,9057400000,10188000000,7439000000,-0.358,,14.505576,-4.69,3.1827080000000003,0.09186,97.0,75.0,88.0,6.06,0.1276268580215274
3016,CAH,2020-05-05,0.10526315789473684,0.10526315789473684,0.1111111111111111,0.0625,-0.039231658,-3.3345045678144767,1.43,2020-05-11,1.55,1.16,47.45,1.034,36946900000,37341000000,36500000000,-0.214,1672875008,8.549549,1.94,13.8702135,-0.02814,64.0,48.0,55.0,-14.23,0.15911485774499456
3017,ALXN,2020-05-05,0.6956521739130435,0.7727272727272727,0.8,0.8571428571428571,-0.2280702,9.182242990654206,2.71,2020-05-06,2.91,2.56,98.25,4.251,1361120000,1451500000,1255810000,,1400812544,8.249371,0.72,1.928967,0.48172,180.0,110.0,140.5,10.7,0.4300254452926209
3018,COG,2020-05-05,0.64,0.5185185185185185,0.42857142857142855,0.6666666666666666,-0.20549017,17.885964912280702,0.03,2020-07-24,0.23,-0.06,20.39,1.399,319310000,356180000,273220000,-0.795,59913000,13.684564000000002,1.33,3.7481616,0.27416,25.0,13.0,22.0,1.14,0.07896027464443356
3019,MDLZ,2020-05-05,0.8,0.8095238095238095,0.7727272727272727,0.8095238095238095,-0.01862377,19.80322707595435,0.56,2020-07-28,0.6,0.52,50.32,0.5329999999999999,5894650000,6249000000,5615000000,-0.176,2648124928,18.298182,2.89,2.7975762000000004,0.14245,68.0,52.0,60.0,2.541,0.19236883942766303
3020,NEM,2020-05-05,0.7894736842105263,0.7368421052631579,0.6470588235294118,0.6111111111111112,1.0423179,17.027806925498425,0.42,2020-07-23,0.54,0.34,64.91,2.63,2695620000,2836640000,2532990000,281.5,777750016,20.671974,1.07,2.4488795,0.28799,98.0,46.0,63.0,3.812,-0.029425358188260642
3021,CLX,2020-05-05,0.2,0.13333333333333333,0.1111111111111111,0.125,0.342247,29.853286384976524,1.93,2020-07-30,2.43,1.74,203.48,0.975,1780400000,2017000000,1645250000,0.289,776374976,31.11315,6.82,36.868996,0.13668,215.0,150.0,171.5,6.816,-0.15716532337330447
3022,NUE,2020-05-05,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.5714285714285714,-0.26913488,15.837543723280218,-0.06,2020-07-16,0.18,-0.31,40.75,3.537,4330880000,4704000000,3911600000,-0.959,481250368,13.766891500000002,6.19,1.2068353,0.0357,56.0,34.0,48.0,2.573,0.17791411042944794
3023,LOW,2020-05-05,0.7333333333333333,0.7419354838709677,0.5666666666666667,0.5625,0.0021470785,20.06375227686703,1.31,2020-05-20,1.44,0.96,110.15,1.009,18076400000,18556600000,16729800000,,2199124992,15.894662,1.12,42.611217,0.05934,147.0,85.0,115.0,5.49,0.04403086699954595
